34801,3,153,3,93
34850,3,411,317,307
34906,3,183,188,225
35000,3,411,317,307
35009,3,153,3,93
35078,3,415,331,309
35086,3,193,124,263
35364,3,153,3,93
35506,3,153,3,93
35534,3,411,335,307
35767,3,193,124,263
35768,3,415,331,309
35824,3,153,3,93
35951,3,183,188,225
36055,3,183,188,225
36091,3,411,335,307
36153,3,411,335,307
36415,3,153,3,93
36510,3,183,199,225
36661,3,415,331,309
36716,3,153,3,93
36914,3,153,3,93
37111,3,153,3,93
37159,3,411,335,307
37541,3,193,124,263
37604,3,193,124,263
37618,3,153,3,93
37676,3,183,199,225
37766,3,411,335,307
37772,3,411,335,307
